dataset,selection_split,pareto_cost_scenario,model_display_name,model,model_role,calibration_type,threshold,expected_cost,pr_auc,roc_auc,recall,f1,brier,ece,precision,specificity,accuracy,tn,fp,fn,tp,is_pareto_front,dominated_by_count,dominated_by_models,domination_reason,pareto_higher_is_better,pareto_lower_is_better,test_set_used_for_pareto_selection,created_local,stability_score,faithfulness_score,pr_auc_norm,roc_auc_norm,recall_norm,cost_norm,calibration_metric_used,calibration_norm,stability_norm,faithfulness_norm,reliability_score,ensemble_weight,base_component_weights_json,effective_component_weights_json,active_components,missing_components_renormalized,weight_learning_split,test_set_used_for_weight_learning,cost_scenario,formula,notes
heloc,validation,B_FN5_FP1,Scorecard / WOE,woe_scorecard_logistic_regression,base_model,sigmoid,0.16,871.0,0.7951238042055726,0.8034319415897484,0.9863680623174296,0.7131291798662442,0.1803741038357108,0.0205088647245446,0.5584343991179713,0.1541710665258711,0.5871327254305978,146,801,14,1013,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9779840146044531,0.9742995051057632,0.7543859649122832,1.0,brier,0.9334063509263184,,,0.933924324058065,0.11107962667832923,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,CatBoost,catboost,base_model,isotonic,0.14,883.0,0.8013113512560703,0.805058047295359,0.9805258033106136,0.7149449769258076,0.1795271125534199,0.0161874566693795,0.5625698324022347,0.1731784582893347,0.5932117527862208,164,783,20,1007,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,1.0,0.9795208208839424,0.6491228070175453,0.8421052631578947,brier,0.9448284954330602,,,0.8938689790027666,0.10631550108421141,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,Logistic Regression,logistic_regression,base_model,sigmoid,0.15,895.0,0.7993308464156561,0.8024808522582974,0.9844206426484908,0.7087276550998949,0.1812471276456165,0.0211638375778098,0.5536692223439211,0.1393875395987328,0.5790273556231003,132,815,16,1011,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9929531419661912,0.9712456213910521,0.7192982456140359,0.6842105263157895,brier,0.9216331434293078,,,0.8707684485407627,0.10356795694847132,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,Class-weighted Logistic Regression,class_weighted_logistic_regression,base_model,sigmoid,0.15,898.0,0.7993772810257544,0.8024859932817106,0.9844206426484908,0.707983193277311,0.181243417585032,0.0218378694997263,0.5527610716238381,0.1362196409714889,0.5775075987841946,129,818,16,1011,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.993118361509482,0.9712621288705909,0.7192982456140359,0.6447368421052632,brier,0.9216831756421663,,,0.8634281130375883,0.1026949079161435,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,Monotonic XGBoost,monotonic_xgboost,base_model,isotonic,0.14,904.0,0.7967358659451867,0.8010156605855214,0.982473222979552,0.7080701754385965,0.1813636643728235,0.0184011459784637,0.5534832693362589,0.1404435058078141,0.5785207700101317,133,814,18,1009,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9837199108209045,0.9665409897224431,0.6842105263157866,0.5657894736842105,brier,0.9200615813998844,,,0.8380216053794757,0.09967309414262432,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,SMOTENC + XGBoost,smotenc_xgboost,base_model,sigmoid,0.18,901.0,0.7961029501654121,0.8015215372893851,0.9717624148003896,0.7177274361740381,0.1811835363748249,0.0294662050170618,0.5689851767388826,0.2016895459345301,0.6023302938196555,191,756,29,998,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9814679255914736,0.9681653257090787,0.4912280701754397,0.6052631578947368,brier,0.9224907067827163,,,0.8091431689287854,0.09623833411189928,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,Old SCRE-Credit,SCRE-Credit,scre_credit,weighted_sum_plus_isotonic,0.17,884.0,0.7980842433390413,0.8114360009418355,0.9483933787731256,0.7435114503816794,0.1754359558208565,6.236919682726746e-17,0.6114249843063403,0.3463569165786694,0.6595744680851063,328,619,53,974,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9885175886031524,1.0,0.07017543859648853,0.8289473684210527,brier,1.0,,,0.789997272754274,0.0939611485362567,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,XGBoost,xgboost,base_model,isotonic,0.19,904.0,0.7972930944304489,0.8006974312362413,0.9591041869522884,0.7280118255728012,0.1813942508473573,0.0214530927515981,0.5866587254318046,0.2671594508975712,0.6271529888551165,253,694,42,985,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,0.1370263857658809,0.9857025921796714,0.96551917673898,0.2631578947368435,0.5657894736842105,brier,0.9196491059241841,,1.0,0.7861783782348238,0.09350693467051091,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.11111111111111112, ""cost_norm"": 0.16666666666666666, ""faithfulness_norm"": 0.11111111111111112, ""pr_auc_norm"": 0.2777777777777778, ""recall_norm"": 0.16666666666666666, ""roc_auc_norm"": 0.16666666666666666}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm, faithfulness_norm",stability_norm,validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,Optuna Best XGBoost,optuna_best_xgboost,base_model,isotonic,0.22,884.0,0.7943436963620043,0.8043100283887312,0.9444985394352484,0.7473035439137135,0.1797568511700538,0.0223174457265613,0.6182281708094327,0.3674762407602956,0.6676798378926039,348,599,57,970,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9752083035268994,0.9771189826110207,0.0,0.8289473684210527,brier,0.9417303435006416,,,0.76110632860825,0.09052490085809335,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
heloc,validation,B_FN5_FP1,Class-weighted LightGBM,class_weighted_lightgbm,base_model,isotonic,0.21,926.0,0.7818713267833157,0.7901583332390812,0.9591041869522884,0.7221407624633431,0.1860908189143648,0.0196662865930457,0.5790711346266901,0.2439281942977824,0.6160081053698075,231,716,42,985,True,0,,not dominated under validation Pareto criteria,"pr_auc, roc_auc, recall, f1","expected_cost, brier, ece",False,2026-04-29 15:00:21,,,0.9308302156915619,0.9316788436840732,0.2631578947368435,0.2763157894736842,brier,0.8563132956641133,,,0.673764703341865,0.0801366125587671,"{""calibration_norm"": 0.1, ""cost_norm"": 0.15, ""faithfulness_norm"": 0.1, ""pr_auc_norm"": 0.25, ""recall_norm"": 0.15, ""roc_auc_norm"": 0.15, ""stability_norm"": 0.1}","{""calibration_norm"": 0.125, ""cost_norm"": 0.18749999999999997, ""pr_auc_norm"": 0.3125, ""recall_norm"": 0.18749999999999997, ""roc_auc_norm"": 0.18749999999999997}","pr_auc_norm, roc_auc_norm, recall_norm, cost_norm, calibration_norm","stability_norm, faithfulness_norm",validation,False,B_FN5_FP1,0.25*PR_AUC_norm + 0.15*ROC_AUC_norm + 0.15*Recall_norm + 0.15*Cost_norm + 0.10*Calibration_norm + 0.10*Stability_norm + 0.10*Faithfulness_norm; missing stability/faithfulness renormalized per model,missing components were excluded from this model score and remaining component weights were renormalized
